LA_code,LA_name,cycling_weekly,cycling_rank,walking_thriceweekly,walking_rank,weekly_greenspace_visits,greenspace_rank,hospital_experience_score,hospital_rank,number_gp_practices,gppractices_per_thousand,pct_canseegp,gp_rank,dentists_per_thousand,dentists_rank,public_bike_docks,overall_rank,overall_grade
E07000048,CHRISTCHURCH,11.9,0.968492803084436,51.6,-0.819088952227379,1.73451327433628,0.973508253294942,NA,NA,7,0.145833333333333,0.833164812942366,0.676954997706067,0.104166666666667,0.413624778733206,NA,0.442698376118255,C
E06000003,REDCAR AND CLEVELAND,10.9,0.655298613032255,51.1,-0.929906869293436,2.06412103746398,1.36884155412538,NA,NA,24,0.177777777777778,0.83235938641344,0.645222732188595,NA,NA,NA,0.434864007513198,C
E06000051,SHROPSHIRE,11.6,0.876943732146106,59.1,1.19972440649775,NA,NA,73,0.848359091145536,45,0.146009085009734,0.798814375694702,-0.285590389657247,0.0551589876703439,-0.471072664668373,NA,0.433672835092754,C
E07000103,WATFORD,9.9,0.212008374804553,54.4,0.00481817030721987,0.903381642512077,-0.94385825573266,76,0.991455805314663,15,0.163576881134133,0.838167938931298,0.835616325293427,0.327153762268266,1.39023883963105,NA,0.415046543269709,C
E07000077,UTTLESFORD,11.1,0.693845590269447,58.7,1.12263368158223,1.98976109215017,1.26012489639701,NA,NA,10,0.1230012300123,0.806411062225016,-0.0846193747132584,0.03690036900369,-0.942145329336746,NA,0.409967892839736,C
E07000177,CHERWELL,11.1,0.693845590269447,55.5,0.37099911365593,1.86295503211991,1.13164157362712,49,-0.776810734060973,19,0.133053221288515,0.807179487179487,-0.0528871091957865,0.161064425770308,1.03406194683301,NA,0.400141730188125,C
E07000124,RIBBLE VALLEY,9.1,-0.115640931711574,55,0.173454131059916,1.43533123028391,0.281674976841684,NA,NA,6,0.104166666666667,0.8603515625,1.25871319885972,NA,NA,NA,0.399550343762436,C
E07000175,NEWARK AND SHERWOOD,13.1,1.28168699313662,56.2,0.645634821167463,2.69369369369369,1.69499152731048,NA,NA,16,0.138169257340242,0.750674373795761,-1.26929062069888,0.0604490500863558,-0.356176892798038,NA,0.39936916562353,C
E07000151,DAVENTRY,9.9,0.212008374804553,51.2,-0.900997847450117,1.77777777777778,1.02292491589875,NA,NA,8,0.102171136653895,0.859701492537313,1.24813577702056,NA,NA,NA,0.395517805068436,C
E07000227,HORSHAM,10.2,0.36137791159867,54.2,-0.0337271921505391,0.867383512544803,-1.02292491589875,NA,NA,14,0.10590015128593,0.878149680330952,1.53372616667781,0.181543116490166,1.12597856432928,NA,0.392886106911295,C
E06000024,NORTH SOMERSET,8.5,-0.467382099000947,53.6,-0.192726812288795,2.42253521126761,1.63569153218592,92,1.31853400912981,26,0.12720156555773,0.840489381348107,0.89908085632837,0.0391389432485323,-0.896187020588612,NA,0.382835077627624,C
E06000040,WINDSOR AND MAIDENHEAD,10.2,0.36137791159867,54.6,0.0722725546082981,1.48561151079137,0.36074163700777,68,0.592829244414953,21,0.1440329218107,0.791590493601462,-0.412519451727135,0.219478737997257,1.26385349057368,NA,0.373092564412707,C
E06000010,KINGSTON UPON HULL,14.9,1.44551164639468,59.9,1.29608781264215,NA,NA,49,-0.776810734060973,59,0.229393468118196,0.799297012302285,-0.264435545978932,0.0777604976671851,0.0804270403092344,NA,0.356156043861231,C
E07000132,HINCKLEY AND BOSWORTH,10.4,0.462563726846298,54.5,0.0289090218433192,1.55072463768116,0.538641622381466,NA,NA,13,0.122641509433962,0.866763565891473,1.34333257357298,0.0471698113207547,-0.620437168099809,NA,0.35060195530885,C
E07000214,SURREY HEATH,12.1,1.03113164109487,50.7,-1.00699759420895,2,1.28977489395929,52,-0.6132716321534,10,0.115473441108545,0.844714686623012,1.0154324965591,0.103926096997691,0.379156047172105,NA,0.349204308737169,C
E07000041,EXETER,15.6,1.52260560086906,65.8,1.63817790445476,1.2719298245614,-0.11365832398875,39,-1.31853400912981,17,0.142378559463987,0.814624505928854,0.179816171265674,0.0837520938023451,0.160854080618469,NA,0.344876904014901,C
E06000037,WEST BERKSHIRE,10.8,0.621570007949713,52.9,-0.419180816728129,1.38461538461538,0.182841651634075,NA,NA,14,0.0906148867313916,0.832200357781753,0.624067888510281,0.122977346278317,0.712353785596077,NA,0.344330503392403,C
E07000153,KETTERING,6.4,-1.27205024882732,55.9,0.539635074408626,1.65751789976134,0.835141598004291,NA,1.71716057002952,8,0.0843881856540084,0.842293906810036,0.962545387363314,0.0421940928270042,-0.792780825905311,NA,0.331608592512187,C
E07000208,EPSOM AND EWELL,9.6,0.101185815247628,53.8,-0.115636087373277,0.968152866242038,-0.845024930525051,81,1.21632207043758,10,0.131406044678055,0.838044758539458,0.825038903454269,0.131406044678055,0.735332939970144,NA,0.319536451868548,C
E07000116,TUNBRIDGE WELLS,8.5,-0.467382099000947,55.8,0.501089711950867,0.974117647058824,-0.82525826548353,58,-0.112433132561457,21,0.181818181818182,0.883218390804598,1.57603585403444,0.207792207792208,1.24087433619962,NA,0.318821067523165,C
E09000007,CAMDEN,10.6,0.563749542093925,69,1.71526862937028,0.770627062706271,-1.15140823866864,75,0.960792223706993,29,0.128888888888889,0.745845272206304,-1.35390999541213,0.182222222222222,1.14895771870335,968,0.313908313298962,C
E07000092,RUSHMOOR,10.5,0.520384192702085,49.6,-1.32017866417825,2.25,1.54179987323869,NA,NA,12,0.126448893572181,0.831867563372995,0.613490466671123,0.0842992623814542,0.172343657805502,NA,0.305567905247831,C
E07000141,SOUTH KESTEVEN,9.3,-0.0385469772371915,58.8,1.13708819250389,1.57894736842105,0.627591615068313,149,1.56384266199117,18,0.133333333333333,0.763139453398739,-1.07889702759404,0.0592592592592593,-0.379156047172105,NA,0.305320402926672,C
E07000149,SOUTH NORFOLK,10.6,0.563749542093925,57.3,0.881725166221237,1.12942779291553,-0.380508302049292,53,-0.49061730572272,14,0.111111111111111,0.841028081865778,0.941390543685,NA,NA,NA,0.30314792884563,C
E07000049,EAST DORSET,8.9,-0.245736979887096,54.8,0.120454257680497,1.56716417910448,0.607824950026791,NA,NA,10,0.113895216400911,0.850993377483444,1.0894744494332,0.0683371298405467,-0.068937463122201,NA,0.300615842826239,C
E09000021,KINGSTON UPON THAMES,11.7,0.910672337228649,58.3,1.07445197851003,0.635332252836305,-1.42814154924994,47,-0.930128642099323,28,0.170835875533862,0.837350926160873,0.803884059775955,0.26235509456986,1.33279095369589,NA,0.293921522976876,C
E07000155,SOUTH NORTHAMPTONSHIRE,7.8,-0.717937451042691,53.2,-0.332453751198171,1.55636363636364,0.558408287422987,NA,NA,8,0.0925925925925926,0.864394993045897,1.29044546437719,0.115740740740741,0.620437168099809,NA,0.283779943531825,C
E07000037,HIGH PEAK,10.8,0.621570007949713,55.4,0.351726432427051,1.6,0.7066582752344,NA,NA,14,0.153677277716795,0.835112059765208,0.740419528741011,0.0329308452250274,-1.03980673542653,NA,0.276113501785129,C
E07000193,EAST STAFFORDSHIRE,10.3,0.40956163314516,50,-1.21417891741941,1.28666666666667,-0.0543583288641846,67,0.511059693461166,17,0.148601398601399,0.856063785144776,1.1635164023073,0.13986013986014,0.838739134653445,NA,0.275723269547247,C
E07000224,ARUN,11.5,0.838396754908915,61.6,1.44545109216596,1.54457050243112,0.518874957339944,NA,NA,18,0.11889035667107,0.810138248847926,0.0211548436783146,0.0198150594451783,-1.44768672556622,NA,0.275238184505383,C
