ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
99A,2011,Aug,396128.0,21579.0,461888.48999999993,21.404536354789375
99C,2011,Aug,175585.0,10420.0,164026.63,15.741519193857966
99D,2011,Aug,126824.0,7786.0,165432.02,21.247369637811456
99E,2011,Aug,207630.0,11082.0,253589.63999999996,22.88302111532214
99F,2011,Aug,144540.0,8329.0,182490.78999999998,21.910288149837914
99G,2011,Aug,145859.0,7894.0,168452.57999999996,21.339318469723835
99H,2011,Aug,226936.0,9905.0,191252.55000000002,19.308687531549722
99J,2011,Aug,365318.0,17916.0,365286.93000000017,20.38886637642332
99K,2011,Aug,132882.0,6554.0,128294.76,19.575032041501373
99M,2011,Aug,170761.0,8171.0,171259.63,20.959445600293723
99N,2011,Aug,362681.0,18353.0,388790.23,21.184015147387345
99P,2011,Aug,722197.0,37713.0,667067.21,17.687991143637472
99Q,2011,Aug,234969.0,13203.0,224008.79,16.966506854502764
00C,2011,Sep,84625.0,5293.0,86395.64,16.32262233138107
00D,2011,Sep,232628.0,15116.0,300838.5799999999,19.901996559936485
00F,2011,Sep,168292.0,9968.0,179171.03,17.974621789727127
00G,2011,Sep,125410.0,5168.0,103247.51999999997,19.978235294117642
00H,2011,Sep,103460.0,6240.0,119528.05000000002,19.15513621794872
00J,2011,Sep,198135.0,11861.0,231776.96999999997,19.54109855830031
00K,2011,Sep,228082.0,12036.0,255467.96000000002,21.22532070455301
00L,2011,Sep,264148.0,16865.0,266342.74999999994,15.792632671212568
00M,2011,Sep,230654.0,13128.0,275548.15,20.9893471968312
00N,2011,Sep,125301.0,8055.0,154940.3,19.235294847920546
00P,2011,Sep,231625.0,13478.0,290180.81,21.52996067665826
00Q,2011,Sep,124909.0,8330.0,181920.00999999998,21.839136854741895
00R,2011,Sep,139228.0,9034.0,171149.77000000005,18.94507084348019
00T,2011,Sep,229563.0,15613.0,295800.03999999986,18.94575289822583
00V,2011,Sep,154052.0,8335.0,179552.10000000003,21.54194361127775
00W,2011,Sep,159701.0,8333.0,211515.67999999996,25.382896915876632
00X,2011,Sep,139469.0,8394.0,169142.19999999992,20.150369311412906
00Y,2011,Sep,177319.0,10749.0,279799.22,26.030255837752346
01A,2011,Sep,288876.0,17288.0,375682.29000000004,21.73081270245257
01C,2011,Sep,164531.0,8938.0,171902.73999999993,19.232797046319078
01D,2011,Sep,174292.0,10737.0,229546.59999999995,21.37902579864021
01E,2011,Sep,167553.0,9236.0,188956.36000000002,20.458679081853617
01F,2011,Sep,101262.0,6894.0,135368.41,19.63568465332173
01G,2011,Sep,189822.0,10151.0,237469.75999999998,23.393730666929365
01H,2011,Sep,411612.0,21957.0,458609.94000000006,20.886730427654054
01J,2011,Sep,126163.0,8044.0,162098.22999999998,20.15144579811039
01K,2011,Sep,131046.0,7155.0,150322.84000000003,21.009481481481487
01M,2011,Sep,138202.0,8034.0,202083.18999999992,25.15349639034104
01N,2011,Sep,131660.0,6960.0,165526.04,23.782477011494255
01R,2011,Sep,139532.0,8137.0,170972.47999999998,21.01173405431977
